Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Sentinel	['Artifact', 'Creature']	['Shapeshifter']	4	colorless	1	1	{0}: Change Sentinel's base toughness to 1 plus the power of target creature blocking or blocked by Sentinel. (This effect lasts indefinitely.)	['LEG', 'CHR']
Redwood Treefolk	['Creature']	['Treefolk']	5	['Green']	3	6	NA	['POR', 'WTH', '6ED', '7ED']
Plumeveil	['Creature']	['Elemental']	3	['White', 'Blue']	4	4	Flash Defender, flying	['SHM', 'CMD', 'MMA']
Kami of Twisted Reflection	['Creature']	['Spirit']	3	['Blue']	2	2	Sacrifice Kami of Twisted Reflection: Return target creature you control to its owner's hand.	['CHK']
Dutiful Thrull	['Creature']	['Thrull']	1	['White']	1	1	{B}: Regenerate Dutiful Thrull.	['GTC']
Keeper of the Beasts	['Creature']	['Human', 'Wizard']	2	['Green']	1	2	{G}, {T}: Choose target opponent who controlled more creatures than you did as you activated this ability. Put a 2/2 green Beast creature token onto the battlefield.	['EXO']
Groundskeeper	['Creature']	['Human', 'Druid']	1	['Green']	1	1	{1}{G}: Return target basic land card from your graveyard to your hand.	['MMQ', '9ED']
Crystal Golem	['Artifact', 'Creature']	['Golem']	4	colorless	3	3	At the beginning of your end step, Crystal Golem phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)	['MIR']
Gosta Dirk	['Creature']	['Human', 'Warrior']	7	['White', 'Blue']	4	4	First strike Creatures with islandwalk can be blocked as though they didn't have islandwalk.	['LEG']
Nightscape Familiar	['Creature']	['Zombie']	2	['Black']	1	1	Blue spells and red spells you cast cost {1} less to cast. {1}{B}: Regenerate Nightscape Familiar.	['PLS', 'DDH', 'C13', 'VMA']
Armored Skaab	['Creature']	['Zombie', 'Warrior']	3	['Blue']	1	4	When Armored Skaab enters the battlefield, put the top four cards of your library into your graveyard.	['ISD']
Man of Measure	['Creature']	['Human', 'Knight']	3	['White']	2	2	As long as you're shorter than an opponent, Man of Measure has first strike and gets +0/+1. As long as you're taller than an opponent, Man of Measure gets +1/+0.	['UNH']
Fangren Hunter	['Creature']	['Beast']	5	['Green']	4	4	Trample	['MRD']
Riptide Mangler	['Creature']	['Beast']	2	['Blue']	0	3	{1}{U}: Change Riptide Mangler's base power to target creature's power. (This effect lasts indefinitely.)	['LGN']
Knight of Glory	['Creature']	['Human', 'Knight']	2	['White']	2	1	Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.) Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	['M13']
Charging Bandits	['Creature']	['Human', 'Rogue']	5	['Black']	3	3	Whenever Charging Bandits attacks, it gets +2/+0 until end of turn.	['POR']
Radiant's Dragoons	['Creature']	['Human', 'Soldier']	4	['White']	2	5	Echo {3}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When Radiant's Dragoons enters the battlefield, you gain 5 life.	['ULG']
Mage il-Vec	['Creature']	['Human', 'Wizard']	3	['Red']	2	2	{T}, Discard a card at random: Mage il-Vec deals 1 damage to target creature or player.	['EXO', 'TPR']
Triton Cavalry	['Creature']	['Merfolk', 'Soldier']	4	['Blue']	2	4	Heroic — Whenever you cast a spell that targets Triton Cavalry, you may return target enchantment to its owner's hand.	['JOU']
Souls of the Faultless	['Creature']	['Spirit']	3	['White', 'Black']	0	4	Defender (This creature can't attack.) Whenever Souls of the Faultless is dealt combat damage, you gain that much life and attacking player loses that much life.	['GPT']
Rageblood Shaman	['Creature']	['Minotaur', 'Shaman']	3	['Red']	2	3	Trample Other Minotaur creatures you control get +1/+1 and have trample.	['THS']
Living Hive	['Creature']	['Elemental', 'Insect']	8	['Green']	6	6	Trample Whenever Living Hive deals combat damage to a player, put that many 1/1 green Insect creature tokens onto the battlefield.	['MRD', 'HOP']
Timber Protector	['Creature']	['Treefolk', 'Warrior']	5	['Green']	4	6	Other Treefolk creatures you control get +1/+1. Other Treefolk and Forests you control have indestructible.	['LRW']
Thraben Militia	['Creature']	['Human', 'Soldier']	No-cmc	['White']	5	4	Trample	['ISD']
Benalish Emissary	['Creature']	['Human', 'Wizard']	3	['White']	1	4	Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.) When Benalish Emissary enters the battlefield, if it was kicked, destroy target land.	['INV']
Ob Nixilis, the Fallen	['Creature']	['Demon']	5	['Black']	3	3	Landfall — Whenever a land enters the battlefield under your control, you may have target player lose 3 life. If you do, put three +1/+1 counters on Ob Nixilis, the Fallen.	['ZEN']
Floodbringer	['Creature']	['Moonfolk', 'Wizard']	2	['Blue']	1	2	Flying {2}, Return a land you control to its owner's hand: Tap target land.	['BOK']
Skulking Knight	['Creature']	['Zombie', 'Knight']	3	['Black']	3	3	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) When Skulking Knight becomes the target of a spell or ability, sacrifice it.	['TSP']
Tethered Skirge	['Creature']	['Imp']	3	['Black']	2	2	Flying Whenever Tethered Skirge becomes the target of a spell or ability, you lose 1 life.	['ULG']
Thassa, God of the Sea	['Enchantment', 'Creature']	['God']	3	['Blue']	5	5	Indestructible As long as your devotion to blue is less than five, Thassa isn't a creature. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.) At the beginning of your upkeep, scry 1. {1}{U}: Target creature you control can't be blocked this turn.	['THS']
Heartwood Dryad	['Creature']	['Dryad']	2	['Green']	2	1	Heartwood Dryad can block creatures with shadow as though Heartwood Dryad had shadow.	['TMP', 'TPR']
Pale Wayfarer	['Creature']	['Spirit', 'Giant']	7	['White']	4	4	{2}{W}{W}, {Q}: Target creature gains protection from the color of its controller's choice until end of turn. ({Q} is the untap symbol.)	['SHM']
Crude Rampart	['Creature']	['Wall']	4	['White']	4	5	Defender (This creature can't attack.) Morph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['ONS']
Mist Raven	['Creature']	['Bird']	4	['Blue']	2	2	Flying When Mist Raven enters the battlefield, return target creature to its owner's hand.	['AVR']
Horizon Chimera	['Creature']	['Chimera']	4	['Blue', 'Green']	3	2	Flash (You may cast this spell any time you could cast an instant.) Flying, trample Whenever you draw a card, you gain 1 life.	['THS']
Chasm Skulker	['Creature']	['Squid', 'Horror']	3	['Blue']	1	1	Whenever you draw a card, put a +1/+1 counter on Chasm Skulker. When Chasm Skulker dies, put X 1/1 blue Squid creature tokens with islandwalk onto the battlefield, where X is the number of +1/+1 counters on Chasm Skulker. (They can't be blocked as long as defending player controls an Island.)	['M15']
Revenant Patriarch	['Creature']	['Spirit']	5	['Black']	4	3	When Revenant Patriarch enters the battlefield, if {W} was spent to cast it, target player skips his or her next combat phase. Revenant Patriarch can't block.	['GPT', 'DDK']
Ampryn Tactician	['Creature']	['Human', 'Soldier']	4	['White']	3	3	When Ampryn Tactician enters the battlefield, creatures you control get +1/+1 until end of turn.	['ORI']
